Track: 2025-05-17 19-39-38	RC-102-008228	 	EC
Timestamp	Time	Latitude	Longitude	Accuracy	DoseRate	CountRate	Comment
133919987865860000	2025-05-17 23:39:46	34.3048826	-84.0843115	16.6	6.1	4.11	 
133919987907210000	2025-05-17 23:39:50	34.304877	-84.084309	6.5	5.94	4.11	 
133919987949490000	2025-05-17 23:39:54	34.304865	-84.0843287	4.52	6.13	4.13	 
133919987994320000	2025-05-17 23:39:59	34.3048642	-84.0843231	4.11	6.04	4.09	 
133919988035570000	2025-05-17 23:40:03	34.3048983	-84.084305	5.27	6.05	4.07	 
133919988077010000	2025-05-17 23:40:07	34.3049389	-84.0842759	5.42	6	4.08	 
133919988120300000	2025-05-17 23:40:12	34.3049785	-84.0842581	4.56	11.4	7.25	 
133919988167080000	2025-05-17 23:40:16	34.3049876	-84.0842696	4.51	11.4	7.25	 
133919988208650000	2025-05-17 23:40:20	34.3050002	-84.084262	4.62	11.5	7.31	 
133919988227100000	2025-05-17 23:40:22	34.305015	-84.0842593	4.68	11.4	7.16	 
133919988270260000	2025-05-17 23:40:27	34.3050544	-84.0842725	5.37	9.85	6.8	 
133919988313550000	2025-05-17 23:40:31	34.3050503	-84.0842963	5.42	9.84	6.57	 
133919988357240000	2025-05-17 23:40:35	34.3050456	-84.0843235	5.69	9.31	6.29	 
133919988398570000	2025-05-17 23:40:39	34.3050587	-84.0843301	5.81	8.6	6.07	 
133919988447620000	2025-05-17 23:40:44	34.3050864	-84.0843672	5.39	7.93	5.86	 
133919988497180000	2025-05-17 23:40:49	34.3051076	-84.084381	5.77	7.28	5.63	 
133919988547110000	2025-05-17 23:40:54	34.3051291	-84.0843981	5.14	6.83	5.47	 
133919988595370000	2025-05-17 23:40:59	34.3051375	-84.0844021	4.88	6.28	5.27	 
133919988637090000	2025-05-17 23:41:03	34.3051387	-84.0843953	5.28	6.55	5.11	 
133919988686740000	2025-05-17 23:41:08	34.3051414	-84.0843896	5.49	6.91	5.07	 
133919988737250000	2025-05-17 23:41:13	34.3051367	-84.08439	5.52	6.7	4.99	 
133919988784750000	2025-05-17 23:41:18	34.3051395	-84.0843745	5.46	7.23	5.02	 
133919988827060000	2025-05-17 23:41:22	34.3051448	-84.0843869	5.18	7.16	4.97	 
133919988876730000	2025-05-17 23:41:27	34.3051495	-84.0843786	5.06	6.89	4.9	 
133919988921620000	2025-05-17 23:41:32	34.3051537	-84.0843793	5.11	7.05	4.93	 
133919988962810000	2025-05-17 23:41:36	34.3051606	-84.0843649	5.21	7.2	4.95	 
133919989007100000	2025-05-17 23:41:40	34.3051559	-84.0843706	5.66	6.9	4.88	 
133919989054340000	2025-05-17 23:41:45	34.3051623	-84.0843644	4.86	6.68	4.91	 
133919989097090000	2025-05-17 23:41:49	34.3051667	-84.0843549	4.66	6.72	4.91	 
133919989147220000	2025-05-17 23:41:54	34.305175	-84.084332	4.86	6.74	4.9	 
133919989191720000	2025-05-17 23:41:59	34.3051807	-84.0843007	5.16	6.8	4.9	 
133919989236990000	2025-05-17 23:42:03	34.3051803	-84.0842856	5.45	6.65	4.91	 
133919989285450000	2025-05-17 23:42:08	34.3051827	-84.0842613	5.42	6.47	4.87	 
133919989320370000	2025-05-17 23:42:12	34.3051791	-84.0842416	5.22	6.5	4.85	 
133919989367500000	2025-05-17 23:42:16	34.3051715	-84.0842294	4.72	6.52	4.83	 
133919989417160000	2025-05-17 23:42:21	34.3051567	-84.0842081	4.46	6.58	4.81	 
133919989461260000	2025-05-17 23:42:26	34.3051495	-84.08421	4.59	6.26	4.71	 
133919989507190000	2025-05-17 23:42:30	34.305145	-84.0842145	4.75	6.3	4.69	 
133919989552810000	2025-05-17 23:42:35	34.3051409	-84.0842167	4.5	6.27	4.58	 
133919989597310000	2025-05-17 23:42:39	34.305156	-84.0842348	5.04	6	4.52	 
