Track: 2025-06-01 06-26-07	RC-102-008228	 	EC
Timestamp	Time	Latitude	Longitude	Accuracy	DoseRate	CountRate	Comment
133932471713420000	2025-06-01 10:26:11	34.3049249	-84.0842605	6.69	6.78	4.23	 
133932471722050000	2025-06-01 10:26:12	34.3049249	-84.0842604	6.72	6.7	4.22	 
133932471817690000	2025-06-01 10:26:21	34.3049329	-84.0842568	7.61	6.68	4.23	 
133932471867460000	2025-06-01 10:26:26	34.3049362	-84.084262	11.2	6.71	4.21	 
133932471917880000	2025-06-01 10:26:31	34.3049299	-84.0842539	10.6	6.64	4.23	 
133932471967940000	2025-06-01 10:26:36	34.3049724	-84.0842439	5.96	6.69	4.29	 
133932472017900000	2025-06-01 10:26:41	34.3049782	-84.0842417	3.88	6.81	4.3	 
133932472067710000	2025-06-01 10:26:46	34.3049761	-84.0842383	3.82	7.01	4.34	 
133932472117950000	2025-06-01 10:26:51	34.3049868	-84.0842352	3.79	7.22	4.4	 
133932472167990000	2025-06-01 10:26:56	34.3049793	-84.0842356	3.79	7.29	4.39	 
133932472218240000	2025-06-01 10:27:01	34.3049829	-84.0842377	3.71	7.26	4.37	 
133932472267980000	2025-06-01 10:27:06	34.3049834	-84.0842374	3.7	7.5	4.42	 
133932472318110000	2025-06-01 10:27:11	34.3049833	-84.0842395	3.87	7.49	4.49	 
133932472368060000	2025-06-01 10:27:16	34.3049985	-84.0842382	4.6	7.42	4.48	 
133932472417880000	2025-06-01 10:27:21	34.3050045	-84.0842333	4.69	7.44	4.45	 
133932472467830000	2025-06-01 10:27:26	34.3050062	-84.0842265	4.9	7.71	4.45	 
133932472514330000	2025-06-01 10:27:31	34.304997	-84.0842261	5.22	7.71	4.46	 
133932472557400000	2025-06-01 10:27:35	34.3049839	-84.0842318	5.18	7.85	4.46	 
133932472607860000	2025-06-01 10:27:40	34.304981	-84.0842314	4.64	7.88	4.47	 
133932472657940000	2025-06-01 10:27:45	34.3049778	-84.0842303	4.67	8.25	4.5	 
133932472707580000	2025-06-01 10:27:50	34.3049906	-84.0842193	4.68	8.29	4.48	 
133932472758030000	2025-06-01 10:27:55	34.3049824	-84.0842241	4.64	8.27	4.49	 
133932472808030000	2025-06-01 10:28:00	34.304966	-84.0842226	4.57	8.2	4.47	 
133932472857840000	2025-06-01 10:28:05	34.304963	-84.084223	4.63	8.37	4.47	 
133932472907770000	2025-06-01 10:28:10	34.3049578	-84.0842192	4.56	8.41	4.5	 
133932472957920000	2025-06-01 10:28:15	34.3049583	-84.0842255	4.57	8.43	4.49	 
133932473007730000	2025-06-01 10:28:20	34.3049519	-84.0842255	4.66	8.28	4.48	 
133932473058010000	2025-06-01 10:28:25	34.3049402	-84.0842275	5.28	8.31	4.52	 
133932473107660000	2025-06-01 10:28:30	34.304932	-84.0842221	4.73	8.5	4.51	 
133932473158010000	2025-06-01 10:28:35	34.3049155	-84.0842318	4.6	8.44	4.52	 
133932473207790000	2025-06-01 10:28:40	34.3049168	-84.0842441	5.14	8.17	4.52	 
133932473258300000	2025-06-01 10:28:45	34.3049187	-84.0842376	5.85	8.01	4.51	 
133932473308060000	2025-06-01 10:28:50	34.3049176	-84.084242	11.5	8.03	4.54	 
133932473357730000	2025-06-01 10:28:55	34.3049198	-84.0842515	7.58	8.15	4.57	 
133932473408260000	2025-06-01 10:29:00	34.3049247	-84.084252	6.34	7.83	4.55	 
133932473458040000	2025-06-01 10:29:05	34.3049785	-84.0842344	8.2	8.12	4.59	 
133932473507830000	2025-06-01 10:29:10	34.3049978	-84.0842182	9.66	7.99	4.55	 
133932473558240000	2025-06-01 10:29:15	34.3050144	-84.0842109	9.78	8.04	4.57	 
133932473608110000	2025-06-01 10:29:20	34.3050357	-84.0842159	12.7	7.95	4.55	 
133932473658020000	2025-06-01 10:29:25	34.3050305	-84.0842264	9.58	7.94	4.5	 
133932473708080000	2025-06-01 10:29:30	34.3050249	-84.084219	8.22	7.98	4.5	 
133932473757890000	2025-06-01 10:29:35	34.3050097	-84.0842239	8.29	7.88	4.46	 
133932473808090000	2025-06-01 10:29:40	34.3049991	-84.0842222	7.68	7.66	4.41	 
133932473857950000	2025-06-01 10:29:45	34.3049789	-84.0842202	7.28	7.65	4.42	 
133932473908030000	2025-06-01 10:29:50	34.3049673	-84.0842329	7.13	7.66	4.43	 
133932473957890000	2025-06-01 10:29:55	34.3049612	-84.0842409	6.91	7.47	4.42	 
133932474007870000	2025-06-01 10:30:00	34.3049639	-84.0842516	7.01	7.71	4.41	 
133932474057730000	2025-06-01 10:30:05	34.3049693	-84.0842812	7.3	7.57	4.41	 
133932474107440000	2025-06-01 10:30:10	34.3049738	-84.084275	8.58	7.48	4.43	 
133932474157580000	2025-06-01 10:30:15	34.3049917	-84.0842569	8.26	7.58	4.45	 
133932474207940000	2025-06-01 10:30:20	34.3050153	-84.0842331	7.72	7.5	4.43	 
